Code Set Name, Maintainer, Last updated,path
Admit Source,National Uniform Billing Committee,4/19/2022,"/terminology/administrative-codes/admit-source"
Admit Type,National Uniform Billing Committee,4/19/2022,"/terminology/administrative-codes/admit-type"
Bill Type,National Uniform Billing Committee,11/3/2022,"/terminology/administrative-codes/bill-type"
Discharge Disposition,National Uniform Billing Committee,03/07/2022,"/terminology/administrative-codes/discharge-disposition"
Medicare Dual Eligibility,Centers for Medicare & Medicaid Services (CMS),3/7/2023,"/terminology/administrative-codes/medicare-dual-eligibility"
Medicare Status,Centers for Medicare & Medicaid Services (CMS),11/3/2022,"/terminology/administrative-codes/medicare-status"
Place of Service,Centers for Medicare & Medicaid Services (CMS),4/19/2022,"/terminology/administrative-codes/place-of-service"
Present on Admission,Centers for Medicare & Medicaid Services (CMS),4/19/2022,"/terminology/administrative-codes/present-on-admission"
Revenue Center,National Uniform Billing Committee,6/23/2022,"/terminology/administrative-codes/revenue-center"
APR-DRG,3M,2/20/2023,/terminology/conditions-and-procedures/apr-drg
HCPCS Level II,Centers for Medicare & Medicaid Services (CMS),4/19/2022,/terminology/conditions-and-procedures/hcpcs-level-2
ICD-10-CM,Centers for Disease Control and Prevention (CDC),4/19/2022,/terminology/conditions-and-procedures/icd-10-cm
ICD-10-PCS,Centers for Medicare & Medicaid Services (CMS),4/19/2022,/terminology/conditions-and-procedures/icd-10-pcs
ICD-9-CM,Centers for Medicare & Medicaid Services (CMS),5/10/2023,/terminology/conditions-and-procedures/icd-9-cm
MDC,Centers for Medicare & Medicaid Services (CMS),4/19/2022,/terminology/conditions-and-procedures/mdc
MS-DRG,Centers for Medicare & Medicaid Services (CMS),4/19/2022,/terminology/conditions-and-procedures/ms-drg
Ethnicity,Tuva,11/3/2022,/terminology/demographics/ethnicity
Gender,Tuva,4/19/2022,/terminology/demographics/gender
Race,Tuva,2/3/2023,/terminology/demographics/race
ANSI FIPS County,ANSI,11/3/2022,/terminology/geography/ansi-fips-county
ANSI FIPS State,ANSI,3/16/2023,/terminology/geography/ansi-fips-state
SSA FIPS State,SSA,3/16/2023,/terminology/geography/ssa-fips-state
Calendar,Tuva,2/29/2023,/terminology/calendar/calendar
Provider,Tuva,8/17/2023,/terminology/providers/provider
Other Provider Taxonomy,Tuva,8/17/2023,/terminology/providers/other-provider-taxonomy
Claim Type,Tuva,11/4/2023,/terminology/tuva-concepts/claim-type
Code Type,Tuva,4/19/2022,/terminology/tuva-concepts/code-type
Encounter Type,Tuva,6/17/2022,/terminology/tuva-concepts/encounter-type
Payer Type,Tuva,4/19/2022,/terminology/tuva-concepts/payer-type
LOINC,Regenstrief Institute,9/18/2023,/terminology/lab/loinc
LOINC Deprecated Mapping,Regenstrief Institute,9/18/2023,/terminology/lab/loinc
